DATE,DESCRIPTION,CATEGORY,INCOME,EXPENSE,ACCOUNT,BALANCE
2025-03-17,Office supplies & phone,Office & admin,,422.25,Business transaction,213296.4
2025-03-18,Parramatta Bakehouse - invoice 1240,Service revenue,1949.46,,Business transaction,215245.86
2025-03-18,Marrickville Brewery - invoice 1261,Installation revenue,3307.05,,Business transaction,218552.91
2025-03-18,Lawrence & Hanson,Materials,,5981.52,Business transaction,212571.39
2025-03-19,Ryde Council - invoice 1243,Service revenue,1492.63,,Business transaction,214064.02
2025-03-19,Marrickville Brewery - invoice 1251,Service revenue,1913.23,,Business transaction,215977.25
2025-03-21,St Leonards Physio - invoice 1253,Service revenue,2382.86,,Business transaction,218360.11
2025-03-21,Parramatta Bakehouse - invoice 1257,Service revenue,3631.42,,Business transaction,221991.53
2025-03-22,Dunbar Family Trust - invoice 1265,Service revenue,3541.16,,Business transaction,225532.69
2025-03-22,Actrol HVAC,Materials,,5552.4,Business transaction,219980.29
2025-03-22,Bookkeeper,Professional fees,,900,Business transaction,219080.29
2025-03-24,Northshore Dental - invoice 1259,Service revenue,1332.91,,Business transaction,220413.2
2025-03-24,Ampol fleet fuel,Vehicle & fuel,,1016.2,Business transaction,219397
2025-03-25,Chatswood Childcare - monthly retainer,Maintenance contracts,3899.05,,Business transaction,223296.05
2025-03-26,Marrickville Brewery - invoice 1248,Installation revenue,5991.2,,Business transaction,229287.25
2025-03-26,Northshore Dental - invoice 1249,Service revenue,1625.16,,Business transaction,230912.41
2025-03-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,229592.41
2025-03-28,St Leonards Physio - invoice 1247,Installation revenue,6422.32,,Business transaction,236014.73
2025-03-28,Payroll fortnight B,Payroll,,16179.2,Business transaction,219835.53
2025-03-30,Owner drawings,Owner drawings,,7000,Business transaction,212835.53
2025-04-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,206635.53
2025-04-02,Ryde Council - invoice 1289,Service revenue,1881.38,,Business transaction,208516.91
2025-04-02,Reece Plumbing,Materials,,5692.39,Business transaction,202824.52
2025-04-03,Dunbar Family Trust - invoice 1284,Installation revenue,5393.47,,Business transaction,208217.99
2025-04-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,206367.99
2025-04-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,205887.99
2025-04-06,Dunbar Family Trust - invoice 1293,Service revenue,3691.24,,Business transaction,209579.23
2025-04-06,Middy's Electrical,Materials,,4021.5,Business transaction,205557.73
2025-04-06,Ampol fleet fuel,Vehicle & fuel,,885.57,Business transaction,204672.16
2025-04-07,Parramatta Bakehouse - invoice 1292,Service revenue,3331.27,,Business transaction,208003.43
2025-04-08,Parramatta Bakehouse - invoice 1301,Service revenue,3489.5,,Business transaction,211492.93
2025-04-08,Google Ads,Marketing,,1534.86,Business transaction,209958.07
2025-04-10,Chatswood Childcare - monthly retainer,Maintenance contracts,4135.96,,Business transaction,214094.03
2025-04-10,Bunnings Trade,Materials,,5418.14,Business transaction,208675.89
2025-04-10,Vehicle servicing,Vehicle & fuel,,260,Business transaction,208415.89
2025-04-12,Electricity & water,Utilities,,582.8,Business transaction,207833.09
2025-04-13,Kings Cross Hotel - invoice 1295,Service revenue,2073.72,,Business transaction,209906.81
2025-04-13,Ryde Council - invoice 1298,Installation revenue,4013.06,,Business transaction,213919.87
2025-04-14,Tradelink,Materials,,4063.62,Business transaction,209856.25
2025-04-14,Payroll fortnight A,Payroll,,16242.4,Business transaction,193613.85
2025-04-15,Subcontractor - refrigeration,Subcontractors,,6363.16,Business transaction,187250.69
2025-04-15,Ampol fleet fuel,Vehicle & fuel,,826.83,Business transaction,186423.86
2025-04-16,Parramatta Bakehouse - invoice 1294,Installation revenue,6879.18,,Business transaction,193303.04
2025-04-17,Office supplies & phone,Office & admin,,453.63,Business transaction,192849.41
2025-04-18,Ryde Council - invoice 1282,Installation revenue,3665.23,,Business transaction,196514.64
2025-04-18,Lawrence & Hanson,Materials,,6276.57,Business transaction,190238.07
2025-04-19,St Leonards Physio - invoice 1290,Installation revenue,6825.96,,Business transaction,197064.03
2025-04-19,Ryde Council - invoice 1296,Service revenue,2819.23,,Business transaction,199883.26
2025-04-20,Ryde Council - invoice 1291,Service revenue,3536.27,,Business transaction,203419.53
2025-04-22,Harbourview Apartments - monthly retainer,Maintenance contracts,4135.96,,Business transaction,207555.49
2025-04-22,Actrol HVAC,Materials,,2984.72,Business transaction,204570.77
2025-04-22,Bookkeeper,Professional fees,,900,Business transaction,203670.77
2025-04-23,Wattle St body corporate - invoice 1286,Service revenue,1195.76,,Business transaction,204866.53
2025-04-24,Dunbar Family Trust - invoice 1283,Installation revenue,3193.39,,Business transaction,208059.92
2025-04-24,Parramatta Bakehouse - monthly retainer,Maintenance contracts,4135.96,,Business transaction,212195.88
2025-04-24,Ampol fleet fuel,Vehicle & fuel,,816.41,Business transaction,211379.47
2025-04-25,Annual accounts & tax return,Professional fees,,4800,Business transaction,206579.47
2025-04-26,Wattle St body corporate - invoice 1300,Service revenue,3650.53,,Business transaction,210230
2025-04-27,Dunbar Family Trust - invoice 1280,Installation revenue,8735.67,,Business transaction,218965.67
2025-04-27,Ryde Council - invoice 1281,Service revenue,1132.58,,Business transaction,220098.25
2025-04-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,218778.25
2025-04-28,St Leonards Physio - monthly retainer,Maintenance contracts,4135.96,,Business transaction,222914.21
2025-04-28,Chatswood Childcare - invoice 1299,Service revenue,1639.68,,Business transaction,224553.89
2025-04-28,Payroll fortnight B,Payroll,,16242.4,Business transaction,208311.49
2025-04-30,Owner drawings,Owner drawings,,7000,Business transaction,201311.49
2025-05-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,195111.49
2025-05-02,Reece Plumbing,Materials,,5080.35,Business transaction,190031.14
2025-05-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,188181.14
2025-05-04,Kings Cross Hotel - invoice 1331,Installation revenue,3461.82,,Business transaction,191642.96
2025-05-05,Northshore Dental - invoice 1332,Service revenue,1892.51,,Business transaction,193535.47
2025-05-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,193055.47
2025-05-06,Ryde Council - invoice 1327,Installation revenue,5701.05,,Business transaction,198756.52
2025-05-06,Middy's Electrical,Materials,,3141.37,Business transaction,195615.15
2025-05-06,Ampol fleet fuel,Vehicle & fuel,,750.96,Business transaction,194864.19
2025-05-08,Wattle St body corporate - invoice 1330,Service revenue,3722.26,,Business transaction,198586.45
2025-05-08,Wattle St body corporate - invoice 1335,Installation revenue,5772.3,,Business transaction,204358.75
2025-05-08,Google Ads,Marketing,,1229.97,Business transaction,203128.78
2025-05-09,Kings Cross Hotel - invoice 1323,Installation revenue,7281.93,,Business transaction,210410.71
2025-05-10,Bunnings Trade,Materials,,4103.81,Business transaction,206306.9
2025-05-10,Vehicle servicing,Vehicle & fuel,,260,Business transaction,206046.9
2025-05-12,Dunbar Family Trust - invoice 1326,Service revenue,2405.32,,Business transaction,208452.22
2025-05-12,Northshore Dental - invoice 1343,Installation revenue,9114.91,,Business transaction,217567.13
2025-05-12,Electricity & water,Utilities,,620,Business transaction,216947.13
2025-05-13,Northshore Dental - invoice 1322,Installation revenue,7003.53,,Business transaction,223950.66
2025-05-14,Kings Cross Hotel - monthly retainer,Maintenance contracts,4448.66,,Business transaction,228399.32
2025-05-14,Tradelink,Materials,,6787.3,Business transaction,221612.02
2025-05-14,Payroll fortnight A,Payroll,,16305.6,Business transaction,205306.42
2025-05-15,Subcontractor - refrigeration,Subcontractors,,5493.82,Business transaction,199812.6
2025-05-15,Ampol fleet fuel,Vehicle & fuel,,1035.95,Business transaction,198776.65
2025-05-17,Chatswood Childcare - invoice 1325,Service revenue,2276.3,,Business transaction,201052.95
2025-05-17,St Leonards Physio - monthly retainer,Maintenance contracts,4448.66,,Business transaction,205501.61
2025-05-17,Office supplies & phone,Office & admin,,437.54,Business transaction,205064.07
2025-05-18,Dunbar Family Trust - invoice 1337,Service revenue,3014.12,,Business transaction,208078.19
2025-05-18,Lawrence & Hanson,Materials,,6764.01,Business transaction,201314.18
2025-05-20,Harbourview Apartments - invoice 1320,Service revenue,1274.2,,Business transaction,202588.38
2025-05-21,Ryde Council - monthly retainer,Maintenance contracts,4448.66,,Business transaction,207037.04
2025-05-21,Marrickville Brewery - monthly retainer,Maintenance contracts,4448.66,,Business transaction,211485.7
2025-05-22,Actrol HVAC,Materials,,5210.78,Business transaction,206274.92
2025-05-22,Bookkeeper,Professional fees,,900,Business transaction,205374.92
2025-05-23,Wattle St body corporate - invoice 1321,Service revenue,1299.83,,Business transaction,206674.75
2025-05-23,Dunbar Family Trust - monthly retainer,Maintenance contracts,4448.66,,Business transaction,211123.41
2025-05-23,Ryde Council - monthly retainer,Maintenance contracts,4448.66,,Business transaction,215572.07
2025-05-23,Wattle St body corporate - monthly retainer,Maintenance contracts,4448.66,,Business transaction,220020.73
2025-05-24,Northshore Dental - invoice 1342,Service revenue,1538.26,,Business transaction,221558.99
2025-05-24,Ampol fleet fuel,Vehicle & fuel,,823.01,Business transaction,220735.98
2025-05-25,Parramatta Bakehouse - invoice 1336,Installation revenue,8357.3,,Business transaction,229093.28
2025-05-26,Parramatta Bakehouse - invoice 1339,Installation revenue,6755.92,,Business transaction,235849.2
2025-05-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,234529.2
2025-05-28,Marrickville Brewery - invoice 1328,Installation revenue,7076.8,,Business transaction,241606
2025-05-28,Payroll fortnight B,Payroll,,16305.6,Business transaction,225300.4
2025-05-28,BAS payment (GST net),GST/BAS,,3684.75,Business transaction,221615.65
2025-05-30,Owner drawings,Owner drawings,,7000,Business transaction,214615.65
2025-06-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,208415.65
2025-06-02,St Leonards Physio - invoice 1376,Service revenue,1891.63,,Business transaction,210307.28
2025-06-02,Reece Plumbing,Materials,,6152.75,Business transaction,204154.53
2025-06-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,202304.53
2025-06-05,St Leonards Physio - invoice 1362,Service revenue,3667.21,,Business transaction,205971.74
2025-06-05,Wattle St body corporate - invoice 1370,Installation revenue,10575.92,,Business transaction,216547.66
2025-06-05,Harbourview Apartments - invoice 1385,Service revenue,1337.23,,Business transaction,217884.89
2025-06-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,217404.89
2025-06-06,Kings Cross Hotel - invoice 1383,Service revenue,2441.89,,Business transaction,219846.78
2025-06-06,Middy's Electrical,Materials,,6577.47,Business transaction,213269.31
2025-06-06,Ampol fleet fuel,Vehicle & fuel,,801.71,Business transaction,212467.6
2025-06-07,Kings Cross Hotel - invoice 1378,Installation revenue,10567.21,,Business transaction,223034.81
2025-06-07,Kings Cross Hotel - invoice 1384,Service revenue,3421.71,,Business transaction,226456.52
2025-06-08,Wattle St body corporate - invoice 1367,Installation revenue,8981.26,,Business transaction,235437.78
2025-06-08,Google Ads,Marketing,,1350.69,Business transaction,234087.09
2025-06-09,Dunbar Family Trust - invoice 1360,Installation revenue,5341.65,,Business transaction,239428.74
2025-06-10,Parramatta Bakehouse - invoice 1363,Service revenue,3155.6,,Business transaction,242584.34
2025-06-10,Bunnings Trade,Materials,,6727.8,Business transaction,235856.54
2025-06-10,Vehicle servicing,Vehicle & fuel,,1450,Business transaction,234406.54
2025-06-11,St Leonards Physio - invoice 1382,Installation revenue,10046.21,,Business transaction,244452.75
2025-06-11,Refrigerant recovery unit,Equipment purchase,,14200,Business transaction,230252.75
2025-06-12,Electricity & water,Utilities,,657.2,Business transaction,229595.55
2025-06-14,Marrickville Brewery - invoice 1374,Installation revenue,10469.46,,Business transaction,240065.01
2025-06-14,Tradelink,Materials,,6124.95,Business transaction,233940.06
2025-06-14,Payroll fortnight A,Payroll,,16368.8,Business transaction,217571.26
2025-06-15,Wattle St body corporate - invoice 1371,Installation revenue,9210.9,,Business transaction,226782.16
2025-06-15,Ryde Council - invoice 1379,Service revenue,2224.82,,Business transaction,229006.98
2025-06-15,Subcontractor - refrigeration,Subcontractors,,4945.77,Business transaction,224061.21
2025-06-15,Ampol fleet fuel,Vehicle & fuel,,1065.51,Business transaction,222995.7
2025-06-16,St Leonards Physio - invoice 1369,Service revenue,3240.85,,Business transaction,226236.55
2025-06-17,Marrickville Brewery - invoice 1388,Service revenue,1811.95,,Business transaction,228048.5
2025-06-17,Office supplies & phone,Office & admin,,492.48,Business transaction,227556.02
2025-06-18,Harbourview Apartments - invoice 1365,Installation revenue,9370.79,,Business transaction,236926.81
2025-06-18,Kings Cross Hotel - invoice 1373,Service revenue,2180.3,,Business transaction,239107.11
2025-06-18,Lawrence & Hanson,Materials,,6225.54,Business transaction,232881.57
2025-06-19,Dunbar Family Trust - invoice 1364,Service revenue,2828.01,,Business transaction,235709.58
2025-06-20,Marrickville Brewery - monthly retainer,Maintenance contracts,4767.21,,Business transaction,240476.79
2025-06-21,Dunbar Family Trust - invoice 1387,Service revenue,4125.79,,Business transaction,244602.58
2025-06-22,Kings Cross Hotel - monthly retainer,Maintenance contracts,4767.21,,Business transaction,249369.79
2025-06-22,Actrol HVAC,Materials,,4217.09,Business transaction,245152.7
2025-06-22,Bookkeeper,Professional fees,,900,Business transaction,244252.7
2025-06-23,Parramatta Bakehouse - invoice 1368,Service revenue,1493.72,,Business transaction,245746.42
2025-06-23,Parramatta Bakehouse - invoice 1372,Service revenue,2025.56,,Business transaction,247771.98
2025-06-23,Marrickville Brewery - invoice 1381,Installation revenue,10682.95,,Business transaction,258454.93
2025-06-24,Ampol fleet fuel,Vehicle & fuel,,776.77,Business transaction,257678.16
2025-06-25,Wattle St body corporate - invoice 1366,Service revenue,1824.9,,Business transaction,259503.06
2025-06-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,258183.06
2025-06-28,Ryde Council - invoice 1361,Service revenue,4117.15,,Business transaction,262300.21
2025-06-28,Chatswood Childcare - invoice 1377,Installation revenue,5561.46,,Business transaction,267861.67
2025-06-28,Northshore Dental - monthly retainer,Maintenance contracts,4767.21,,Business transaction,272628.88
2025-06-28,Payroll fortnight B,Payroll,,16368.8,Business transaction,256260.08
2025-06-30,Owner drawings,Owner drawings,,7000,Business transaction,249260.08
2025-07-01,Dunbar Family Trust - invoice 1414,Installation revenue,4767.15,,Business transaction,254027.23
2025-07-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,247827.23
2025-07-02,Wattle St body corporate - invoice 1402,Service revenue,4119.54,,Business transaction,251946.77
2025-07-02,Parramatta Bakehouse - invoice 1413,Installation revenue,7134.91,,Business transaction,259081.68
2025-07-02,Reece Plumbing,Materials,,7487.9,Business transaction,251593.78
2025-07-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,249743.78
2025-07-04,Ryde Council - invoice 1403,Installation revenue,6671.94,,Business transaction,256415.72
2025-07-04,Harbourview Apartments - invoice 1424,Service revenue,3221.15,,Business transaction,259636.87
2025-07-05,St Leonards Physio - invoice 1410,Installation revenue,4643.25,,Business transaction,264280.12
2025-07-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,263800.12
2025-07-06,Wattle St body corporate - monthly retainer,Maintenance contracts,5018.52,,Business transaction,268818.64
2025-07-06,Ryde Council - monthly retainer,Maintenance contracts,5018.52,,Business transaction,273837.16
2025-07-06,Middy's Electrical,Materials,,7511.37,Business transaction,266325.79
2025-07-06,Ampol fleet fuel,Vehicle & fuel,,1048.25,Business transaction,265277.54
2025-07-07,Chatswood Childcare - invoice 1405,Service revenue,1987.59,,Business transaction,267265.13
2025-07-07,Dunbar Family Trust - invoice 1407,Service revenue,3029.84,,Business transaction,270294.97
2025-07-07,Northshore Dental - invoice 1421,Service revenue,2466.59,,Business transaction,272761.56
2025-07-07,Ryde Council - invoice 1427,Installation revenue,6693.44,,Business transaction,279455
2025-07-08,Parramatta Bakehouse - invoice 1419,Installation revenue,8061.68,,Business transaction,287516.68
2025-07-08,Google Ads,Marketing,,1188.37,Business transaction,286328.31
2025-07-10,Dunbar Family Trust - monthly retainer,Maintenance contracts,5018.52,,Business transaction,291346.83
2025-07-10,Bunnings Trade,Materials,,6777.7,Business transaction,284569.13
2025-07-10,Vehicle servicing,Vehicle & fuel,,260,Business transaction,284309.13
2025-07-12,Parramatta Bakehouse - monthly retainer,Maintenance contracts,5018.52,,Business transaction,289327.65
2025-07-12,Northshore Dental - invoice 1412,Service revenue,2947.1,,Business transaction,292274.75
2025-07-12,Electricity & water,Utilities,,684.43,Business transaction,291590.32
2025-07-13,Harbourview Apartments - invoice 1420,Service revenue,2580.6,,Business transaction,294170.92
2025-07-14,Chatswood Childcare - invoice 1408,Installation revenue,7321.7,,Business transaction,301492.62
2025-07-14,Marrickville Brewery - invoice 1426,Installation revenue,8067.32,,Business transaction,309559.94
2025-07-14,Tradelink,Materials,,6919.4,Business transaction,302640.54
2025-07-14,Payroll fortnight A,Payroll,,16432,Business transaction,286208.54
2025-07-15,Marrickville Brewery - invoice 1401,Service revenue,2001.41,,Business transaction,288209.95
2025-07-15,Subcontractor - refrigeration,Subcontractors,,4930.3,Business transaction,283279.65
2025-07-15,Ampol fleet fuel,Vehicle & fuel,,977.14,Business transaction,282302.51
2025-07-15,Income tax instalment,Income tax,,9800,Business transaction,272502.51
2025-07-16,Parramatta Bakehouse - invoice 1425,Installation revenue,5445.68,,Business transaction,277948.19
2025-07-17,Office supplies & phone,Office & admin,,489.59,Business transaction,277458.6
2025-07-18,Dunbar Family Trust - invoice 1416,Installation revenue,6899.7,,Business transaction,284358.3
2025-07-18,Northshore Dental - invoice 1418,Installation revenue,7642.09,,Business transaction,292000.39
2025-07-18,Lawrence & Hanson,Materials,,6208.33,Business transaction,285792.06
2025-07-19,Parramatta Bakehouse - invoice 1423,Service revenue,4095.56,,Business transaction,289887.62
2025-07-22,Wattle St body corporate - invoice 1422,Service revenue,2150.81,,Business transaction,292038.43
2025-07-22,Actrol HVAC,Materials,,4180.15,Business transaction,287858.28
2025-07-22,Bookkeeper,Professional fees,,900,Business transaction,286958.28
2025-07-24,Ampol fleet fuel,Vehicle & fuel,,894.17,Business transaction,286064.11
2025-07-26,St Leonards Physio - invoice 1409,Installation revenue,4238.27,,Business transaction,290302.38
2025-07-26,Marrickville Brewery - invoice 1415,Service revenue,2790.01,,Business transaction,293092.39
2025-07-27,Kings Cross Hotel - invoice 1400,Service revenue,4374.96,,Business transaction,297467.35
2025-07-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,296147.35
2025-07-28,Payroll fortnight B,Payroll,,16432,Business transaction,279715.35
2025-07-30,Owner drawings,Owner drawings,,7000,Business transaction,272715.35
2025-08-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,266515.35
2025-08-02,Wattle St body corporate - invoice 1450,Service revenue,1917.08,,Business transaction,268432.43
2025-08-02,Wattle St body corporate - invoice 1451,Installation revenue,4347.23,,Business transaction,272779.66
2025-08-02,Reece Plumbing,Materials,,6467.22,Business transaction,266312.44
2025-08-03,Wattle St body corporate - invoice 1455,Service revenue,1924.4,,Business transaction,268236.84
2025-08-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,266386.84
2025-08-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,265906.84
2025-08-06,Harbourview Apartments - invoice 1447,Installation revenue,6300.36,,Business transaction,272207.2
2025-08-06,Middy's Electrical,Materials,,7671.14,Business transaction,264536.06
2025-08-06,Ampol fleet fuel,Vehicle & fuel,,863.41,Business transaction,263672.65
2025-08-08,Google Ads,Marketing,,1343.37,Business transaction,262329.28
2025-08-09,Parramatta Bakehouse - invoice 1440,Installation revenue,10604.13,,Business transaction,272933.41
2025-08-10,Ryde Council - monthly retainer,Maintenance contracts,5146.16,,Business transaction,278079.57
2025-08-10,Bunnings Trade,Materials,,5169.07,Business transaction,272910.5
2025-08-10,Vehicle servicing,Vehicle & fuel,,260,Business transaction,272650.5
2025-08-12,Dunbar Family Trust - invoice 1443,Service revenue,1558.66,,Business transaction,274209.16
2025-08-12,Electricity & water,Utilities,,694.4,Business transaction,273514.76
2025-08-13,Wattle St body corporate - invoice 1452,Service revenue,3053.8,,Business transaction,276568.56
2025-08-13,Parramatta Bakehouse - monthly retainer,Maintenance contracts,5146.16,,Business transaction,281714.72
2025-08-14,Parramatta Bakehouse - invoice 1453,Installation revenue,11292.22,,Business transaction,293006.94
2025-08-14,Tradelink,Materials,,7728.59,Business transaction,285278.35
2025-08-14,Payroll fortnight A,Payroll,,16495.2,Business transaction,268783.15
2025-08-15,Subcontractor - refrigeration,Subcontractors,,5718.34,Business transaction,263064.81
2025-08-15,Ampol fleet fuel,Vehicle & fuel,,850.6,Business transaction,262214.21
2025-08-17,Wattle St body corporate - invoice 1444,Installation revenue,10469.8,,Business transaction,272684.01
2025-08-17,Office supplies & phone,Office & admin,,574.78,Business transaction,272109.23
2025-08-18,Kings Cross Hotel - invoice 1449,Installation revenue,11024.88,,Business transaction,283134.11
2025-08-18,Lawrence & Hanson,Materials,,4246.34,Business transaction,278887.77
2025-08-20,Dunbar Family Trust - invoice 1463,Service revenue,2324.49,,Business transaction,281212.26
2025-08-20,Term deposit interest,Interest income,658.52,,Business transaction,281870.78
2025-08-21,Northshore Dental - invoice 1456,Service revenue,3871.2,,Business transaction,285741.98
2025-08-22,St Leonards Physio - invoice 1448,Service revenue,2109.16,,Business transaction,287851.14
2025-08-22,Harbourview Apartments - invoice 1457,Service revenue,2762.53,,Business transaction,290613.67
2025-08-22,Actrol HVAC,Materials,,7573.44,Business transaction,283040.23
2025-08-22,Bookkeeper,Professional fees,,900,Business transaction,282140.23
2025-08-23,Kings Cross Hotel - invoice 1446,Service revenue,3027.87,,Business transaction,285168.1
2025-08-23,Ryde Council - invoice 1461,Service revenue,1723.52,,Business transaction,286891.62
2025-08-24,Ampol fleet fuel,Vehicle & fuel,,903.73,Business transaction,285987.89
2025-08-25,Kings Cross Hotel - monthly retainer,Maintenance contracts,5146.16,,Business transaction,291134.05
2025-08-26,Dunbar Family Trust - invoice 1442,Service revenue,3181.62,,Business transaction,294315.67
2025-08-27,Parramatta Bakehouse - invoice 1458,Service revenue,2894.18,,Business transaction,297209.85
2025-08-27,Ryde Council - invoice 1462,Service revenue,4510.46,,Business transaction,301720.31
2025-08-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,300400.31
2025-08-28,St Leonards Physio - invoice 1454,Service revenue,1665.21,,Business transaction,302065.52
2025-08-28,St Leonards Physio - invoice 1459,Service revenue,1720.75,,Business transaction,303786.27
2025-08-28,Payroll fortnight B,Payroll,,16495.2,Business transaction,287291.07
2025-08-28,BAS payment (GST net),GST/BAS,,4262.48,Business transaction,283028.59
2025-08-30,Owner drawings,Owner drawings,,7000,Business transaction,276028.59
2025-09-01,Kings Cross Hotel - invoice 1481,Installation revenue,7794.6,,Business transaction,283823.19
2025-09-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,277623.19
2025-09-02,Northshore Dental - monthly retainer,Maintenance contracts,5126.06,,Business transaction,282749.25
2025-09-02,Reece Plumbing,Materials,,4115.45,Business transaction,278633.8
2025-09-03,Harbourview Apartments - invoice 1488,Installation revenue,8151.22,,Business transaction,286785.02
2025-09-03,Northshore Dental - invoice 1503,Service revenue,4763.25,,Business transaction,291548.27
2025-09-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,289698.27
2025-09-04,Parramatta Bakehouse - monthly retainer,Maintenance contracts,5126.06,,Business transaction,294824.33
2025-09-05,Wattle St body corporate - invoice 1480,Service revenue,1516.23,,Business transaction,296340.56
2025-09-05,Kings Cross Hotel - invoice 1483,Installation revenue,10619.14,,Business transaction,306959.7
2025-09-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,306479.7
2025-09-06,Chatswood Childcare - invoice 1498,Installation revenue,9607.11,,Business transaction,316086.81
2025-09-06,Dunbar Family Trust - invoice 1504,Service revenue,2007.88,,Business transaction,318094.69
2025-09-06,Middy's Electrical,Materials,,7029.03,Business transaction,311065.66
2025-09-06,Ampol fleet fuel,Vehicle & fuel,,853.81,Business transaction,310211.85
2025-09-08,Harbourview Apartments - monthly retainer,Maintenance contracts,5126.06,,Business transaction,315337.91
2025-09-08,Northshore Dental - invoice 1497,Installation revenue,7748.86,,Business transaction,323086.77
2025-09-08,Northshore Dental - monthly retainer,Maintenance contracts,5126.06,,Business transaction,328212.83
2025-09-08,Google Ads,Marketing,,1508.67,Business transaction,326704.16
2025-09-09,Harbourview Apartments - invoice 1491,Service revenue,2326.56,,Business transaction,329030.72
2025-09-09,Dunbar Family Trust - invoice 1502,Service revenue,2405.26,,Business transaction,331435.98
2025-09-10,Bunnings Trade,Materials,,6393.32,Business transaction,325042.66
2025-09-10,Vehicle servicing,Vehicle & fuel,,1450,Business transaction,323592.66
2025-09-12,Electricity & water,Utilities,,684.43,Business transaction,322908.23
2025-09-13,Harbourview Apartments - invoice 1485,Installation revenue,5303.43,,Business transaction,328211.66
2025-09-13,Wattle St body corporate - invoice 1495,Installation revenue,8065.58,,Business transaction,336277.24
2025-09-14,Ryde Council - invoice 1482,Installation revenue,9526.77,,Business transaction,345804.01
2025-09-14,Parramatta Bakehouse - invoice 1490,Installation revenue,6170.61,,Business transaction,351974.62
2025-09-14,Tradelink,Materials,,3755.51,Business transaction,348219.11
2025-09-14,Payroll fortnight A,Payroll,,16558.4,Business transaction,331660.71
2025-09-15,Subcontractor - refrigeration,Subcontractors,,8055.85,Business transaction,323604.86
2025-09-15,Ampol fleet fuel,Vehicle & fuel,,989.51,Business transaction,322615.35
2025-09-16,Dunbar Family Trust - monthly retainer,Maintenance contracts,5126.06,,Business transaction,327741.41
2025-09-17,Office supplies & phone,Office & admin,,442.76,Business transaction,327298.65
2025-09-18,Lawrence & Hanson,Materials,,3805.99,Business transaction,323492.66
2025-09-22,Actrol HVAC,Materials,,3820,Business transaction,319672.66
2025-09-22,Bookkeeper,Professional fees,,900,Business transaction,318772.66
2025-09-24,Ampol fleet fuel,Vehicle & fuel,,781.07,Business transaction,317991.59
2025-09-25,St Leonards Physio - invoice 1506,Installation revenue,5450.12,,Business transaction,323441.71
2025-09-25,St Leonards Physio - invoice 1507,Installation revenue,4857.18,,Business transaction,328298.89
2025-09-26,Parramatta Bakehouse - invoice 1493,Service revenue,1940.51,,Business transaction,330239.4
2025-09-26,Kings Cross Hotel - invoice 1496,Service revenue,1769.46,,Business transaction,332008.86
2025-09-27,St Leonards Physio - monthly retainer,Maintenance contracts,5126.06,,Business transaction,337134.92
2025-09-27,Parramatta Bakehouse - invoice 1494,Installation revenue,8928.14,,Business transaction,346063.06
2025-09-27,Kings Cross Hotel - invoice 1501,Service revenue,4137.61,,Business transaction,350200.67
2025-09-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,348880.67
2025-09-28,Kings Cross Hotel - invoice 1484,Service revenue,3116.03,,Business transaction,351996.7
2025-09-28,Chatswood Childcare - invoice 1489,Installation revenue,4967.67,,Business transaction,356964.37
2025-09-28,Payroll fortnight B,Payroll,,16558.4,Business transaction,340405.97
2025-09-30,Owner drawings,Owner drawings,,7000,Business transaction,333405.97
2025-10-01,Kings Cross Hotel - monthly retainer,Maintenance contracts,4973.74,,Business transaction,338379.71
2025-10-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,332179.71
2025-10-02,Reece Plumbing,Materials,,3440.21,Business transaction,328739.5
2025-10-03,Marrickville Brewery - invoice 1536,Installation revenue,5913.39,,Business transaction,334652.89
2025-10-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,332802.89
2025-10-04,Ryde Council - invoice 1521,Service revenue,2475.51,,Business transaction,335278.4
